X,Y,GBR_NAME,FEAT_NAME,LEVEL_1,QLD_NAME,GBR_ID,LOC_NAME_L,longitude,latitude,SHAPE_AREA,UNIQUE_ID
143.865010222245,-11.8086145253492,U/N Reef,Reef,Reef,U/N Reef,11227,U/N Reef (11-227),143.865010222245360,-11.808614525349169,0.726477212639800,11227100104
143.842745563046,-11.8442608644368,U/N Reef,Reef,Reef,U/N Reef,11229B,U/N Reef (11-229b),143.842745563045696,-11.844260864436853,2.703677733585728,11229102104
143.829464498466,-11.8600254738226,U/N Reef,Reef,Reef,U/N Reef,11231,U/N Reef (11-231),143.829464498465683,-11.860025473822635,0.354881984361293,11231100104
143.824655406859,-11.8831966719828,U/N Reef,Reef,Reef,U/N Reef,11235,U/N Reef (11-235),143.824655406859165,-11.883196671982809,0.230760295404635,11235100104
143.677877961268,-11.887149178828,U/N Cay,Cay,Island,U/N Cay,11237B,U/N Cay (11-237b),143.677877961267939,-11.887149178828039,0.020832968945079,11237102103
143.688237221533,-11.9265840382931,Ashmore Banks (No 3),Reef,Reef,Ashmore Banks,11237C,Ashmore Banks (No 3) (11-237c),143.688237221532916,-11.926584038293113,48.259650675189327,11237103104
143.868081241923,-11.9534094160834,Star Reef,Reef,Reef,Star Reef,11239,Star Reef (11-239),143.868081241922710,-11.953409416083389,3.872903102385035,11239100104
143.940755889896,-12.2058881266628,Black Rocks,Rock,Reef,Black Rocks,12056,Black Rocks (12-056),143.940755889895655,-12.205888126662817,0.001747149419661,12056100106
143.299755812318,-12.2716878227205,Hazel Reef,Reef,Reef,Hazel Reef,12014,Hazel Reef (12-014),143.299755812318068,-12.271687822720471,2.010620822625116,12014100104
143.125671297713,-12.2865141986241,Ada Reef,Reef,Reef,Ada Reef,12015,Ada Reef (12-015),143.125671297712557,-12.286514198624085,0.147561638664996,12015100104
143.321815700715,-12.2488954243547,U/N Cay,Cay,Island,U/N Cay,12016,U/N Cay (12-016),143.321815700714609,-12.248895424354748,0.088131637467257,12016100103
143.206413022336,-12.2425731889096,Beesley-Baird Reef,Reef,Reef,U/N Reef,12011,Beesley-Baird Reef (12-011),143.206413022335482,-12.242573188909644,1.728992712896139,12011100104
143.238304049022,-12.2504022754806,Piper Reef,Reef,Reef,Piper Reef,12012,Piper Reef (12-012),143.238304049021480,-12.250402275480557,5.301302354815174,12012100104
143.433357252481,-12.3137377465231,Gallon Reef,Reef,Reef,Gallon Reef,12016A,Gallon Reef (12-016a),143.433357252480562,-12.313737746523048,271.726035144255832,12016101104
143.403291201599,-12.2973212578567,Forbes Islands (No 2),Island,Island,Forbes Islands,12016B,Forbes Islands (No 2) (12-016b),143.403291201598989,-12.297321257856700,0.223183346150959,12016102102
143.417753762957,-12.2943036988871,Forbes Islands (No 3),Island,Island,Forbes Islands,12016C,Forbes Islands (No 3) (12-016c),143.417753762957233,-12.294303698887120,0.130714539183564,12016103102
143.849930953299,-12.2209973290885,William Reef (West),Reef,Reef,William Reef,12052B,William Reef (West) (12-052b),143.849930953299037,-12.220997329088476,0.061517868481608,12052102104
143.819193367809,-12.2226360260542,Henry Reef,Reef,Reef,Henry Reef,12053,Henry Reef (12-053),143.819193367809333,-12.222636026054168,0.188872410332221,12053100104
143.890251000727,-12.2468652547526,U/N Reef,Reef,Reef,U/N Reef,12055B,U/N Reef (12-055b),143.890251000726778,-12.246865254752549,0.065184349389406,12055102104
143.898248150056,-12.287982601501,Mantis Reef,Reef,Reef,U/N Reef,12056,Mantis Reef (12-056),143.898248150055906,-12.287982601500946,29.162969232674261,12056100104
143.805165250464,-12.1716762051184,U/N Reef,Reef,Reef,U/N Reef,12046,U/N Reef (12-046),143.805165250464256,-12.171676205118409,0.580168557383097,12046100104
143.550017269367,-12.8863624948055,Rocky Island Reef,Reef,Reef,U/N Reef,12125,Rocky Island Reef (12-125),143.550017269366805,-12.886362494805512,0.955448504941349,12125100104
143.549727234169,-12.8858223972817,Rocky Island (East),Island,Island,Rocky Island,12125B,Rocky Island (East) (12-125b),143.549727234169296,-12.885822397281736,0.007402644319746,12125102102
143.6265314506,-12.8785863940802,Frederick Patches,Reef,Reef,Frederick Patches,12126,Frederick Patches (12-126),143.626531450600453,-12.878586394080221,3.303777973836161,12126100104
143.447062866692,-12.6195087245445,Restoration Island,Island,Island,Restoration Island,12078,Restoration Island (12-078),143.447062866692221,-12.619508724544495,0.592316488608681,12078100102
143.444007170112,-12.6281704913971,Old Man Rock,Rock,Reef,Old Man Rock,12078,Old Man Rock (12-078),143.444007170112371,-12.628170491397075,0.042450511116068,12078100106
143.434901393634,-12.6125291018435,U/N Reef,Reef,Reef,U/N Reef,12077,U/N Reef (12-077),143.434901393634391,-12.612529101843517,0.875416347457907,12077100104
143.446730365776,-12.6232956990317,Restoration Island Reef,Reef,Reef,U/N Reef,12078,Restoration Island Reef (12-078),143.446730365776261,-12.623295699031667,0.871583619946320,12078100104
146.706161324341,-18.4081952170405,Bramble Reef,Reef,Reef,Bramble Reef,18029,Bramble Reef (18-029),146.706161324341309,-18.408195217040507,62.855483446489465,18029100104
145.792557352077,-16.3209345987276,Tongue Reef,Reef,Reef,Tongue Reef,16026,Tongue Reef (16-026),145.792557352077239,-16.320934598727568,262.743783109021706,16026100104
145.921251540001,-16.8647798086915,U/N Island,Island,Island,U/N Island,16098A,U/N Island (16-098a),145.921251540001151,-16.864779808691480,0.000376429900742,16098101102
145.921291267597,-16.8644890461881,U/N Island,Island,Island,U/N Island,16098B,U/N Island (16-098b),145.921291267597525,-16.864489046188133,0.000437843419419,16098102102
