name,latitude,longitude
21-278 Reef</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/7062ce54-29d8-49db-ad84-2e12fb81a461' target='blank'> Metadata Record </a>,-21.10853,152.5502
21-296 Reef</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/9bcef099-31d5-4ff7-b3da-3c28da5cd9e8' target='blank'> Metadata Record </a>,-21.32832,152.56557
21-062 Reef</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/1c420451-2c33-4e85-87fe-5e902b28b477' target='blank'> Metadata Record </a>,-21.027265,150.853575
21-139 Reef</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/b2e4359c-bf57-449d-a2b6-b26f47b5bf2c' target='blank'> Metadata Record </a>,-21.454965,151.4654
21-187 Reef</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/43fee547-d55f-4000-850b-63cc6b588cdb' target='blank'> Metadata Record </a>,-21.40631,151.63989
Mackay Reef</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/3d198c26-c198-42b7-8a2c-db006e8d60c2' target='blank'> Metadata Record </a>,-16.04109167,145.6525583
St Crispin Reef</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/64a2d3a9-31a2-45c3-ba82-8e1732d9c3e2' target='blank'> Metadata Record </a>,-16.07231667,145.84451665
Opal Reef</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/ab779551-5ce5-4e2e-8df4-7433d651844a' target='blank'> Metadata Record </a>,-16.203810805,145.90351085
Michaelmas Reef</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/27507d8a-0451-452f-8c97-2238a4899a06' target='blank'> Metadata Record </a>,-16.550740965,146.0476995
Peart Reef</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/1d8f3926-18a2-412d-90c0-889953a5891d' target='blank'> Metadata Record </a>,-17.46705334,146.4025616
Feather Reef</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/5ce96575-ce45-4dd9-985f-4976b2eb564f' target='blank'> Metadata Record </a>,-17.518480805,146.3896008
Horseshoe Reef</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/6fca36fb-0c7f-47b6-a860-52bd3832d144' target='blank'> Metadata Record </a>,-22.02281,152.61791
Hedley Reef</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/f1e627cf-5422-463f-a22f-6a5f7c20abdf' target='blank'> Metadata Record </a>,-17.22428832,146.4772033
McCulloch Reef</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/14abd263-8acf-4afd-bd3e-a91eeca6dac0' target='blank'> Metadata Record </a>,-17.28410661,146.4796166
Farquharson Reef</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/77AC746F-F591-71DA-E054-0010E056919A' target='blank'> Metadata Record </a>,-17.79055667,146.53195415
Taylor Reef</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/77AC746F-F588-71DA-E054-0010E056919A' target='blank'> Metadata Record </a>,-17.811395,146.57096415
Helix Reef</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/d5bdd2e8-a2fc-435e-ba71-159ecec4a6c8' target='blank'> Metadata Record </a>,-18.620172465,147.29666495
Knife Reef</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/5f88f85a-fa78-4536-99b7-d72f32506308' target='blank'> Metadata Record </a>,-18.57155583,147.576555
Centipede Reef</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/c576747e-18fd-45e9-a145-0e673956a218' target='blank'> Metadata Record </a>,-18.73235833,147.55398
Tern Reef</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/c87783c6-60b9-4879-a1e3-39cf745b0d4b' target='blank'> Metadata Record </a>,-20.9006666666667,150.027658166666
Pompey Reef (No 1)</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/f72e742e-56d7-4677-bf5d-ed09ac039985' target='blank'> Metadata Record </a>,-20.920805,150.557653
Penrith Reef</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/e1ead865-9418-47c7-9d5b-350ff0d55dd2' target='blank'> Metadata Record </a>,-21.00315831,149.8875233
21-591 Reef</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/2aced15d-dd92-4c8a-b243-d6b5dbcff791' target='blank'> Metadata Record </a>,-21.02662,150.380733
21-550 Reef</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/ac4dd1e6-1ceb-4de5-a594-fee9a6667702' target='blank'> Metadata Record </a>,-21.95411,152.311845
21-550 Reef</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/7B34DD74-D928-53E0-E054-0010E056919A' target='blank'> Metadata Record </a>,-21.95411,152.311845
Gannet Cay Reef</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/d4656c3b-7075-44fe-895c-7148c75f41ea' target='blank'> Metadata Record </a>,-21.97837,152.47417
Martin</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/f393ebd8-8271-4d63-872b-aaaf901b5cce' target='blank'> Metadata Record </a>,-14.75529992,145.3722333
No Name</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/923B053D-B27B-5437-E054-0010E056919A' target='blank'> Metadata Record </a>,-14.62786666,145.6453333
Bedarra Island</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/15e8b11a-7ab9-4606-8b61-68a72f09097a' target='blank'> Metadata Record </a>,-18.009533,146.148058
Hastings Reef</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/f70a7cd5-54c0-4bfd-836e-893b1f26423e' target='blank'> Metadata Record </a>,-16.50043148,146.0196785
Repulse</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/6134068d-5018-4216-babb-13298b551eae' target='blank'> Metadata Record </a>,-20.57793,148.8625
Repulse</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/9E2FE400-5BBC-0B7C-E054-0010E056919A' target='blank'> Metadata Record </a>,-20.57793,148.8625
Holbourne Island East</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/3497e9b7-d51c-4169-af5d-9b3f6e9f728c' target='blank'> Metadata Record </a>,-19.7335085,148.3645335
Camp Island East</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/294fc124-0db8-4305-b1e3-9ac1b307378b' target='blank'> Metadata Record </a>,-19.8508,147.905167
Lagoon Reef</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/90AACECA-265A-3D1E-E054-0010E056919A' target='blank'> Metadata Record </a>,-12.392445,143.73994
Curd Reef</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/90A8FDD4-D818-5427-E054-0010E056919A' target='blank'> Metadata Record </a>,-12.584975,143.511235
Moore Reef-Coral Sea</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/A3377B9C-E12C-62C6-E054-0010E056919A' target='blank'> Metadata Record </a>,-15.88657,149.15158
Agincourt Reef Number 1</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/f3860d74-eddc-4348-a850-eef353bc9f7a' target='blank'> Metadata Record </a>,-16.03908013,145.86699135
Agincourt Reef Number 3</br>Type: WEATHER-STATION</br><a href='5ee39300-4ade-11dc-8f56-00008a07204e' target='blank'> Metadata Record </a>,-15.98278,145.82251
Cleveland Bay</br>Type: WEATHER-STATION</br><a href='82422310-5a9d-11dc-8d3c-00008a07204e' target='blank'> Metadata Record </a>,-19.1433999191731,146.891746860254
Davies Reef</br>Type: WEATHER-STATION</br><a href='5fc91100-4ade-11dc-8f56-00008a07204e' target='blank'> Metadata Record </a>,-18.8326253072393,147.636889471194
Hardy Reef</br>Type: WEATHER-STATION</br><a href='603df2e0-4ade-11dc-8f56-00008a07204e' target='blank'> Metadata Record </a>,-19.745928,149.182583
Heron Island</br>Type: WEATHER-STATION</br><a href='aefce70d-0ca2-494a-a8f9-47499e2c7f6e' target='blank'> Metadata Record </a>,-23.4491117970791,151.962859438179
Lizard Island</br>Type: WEATHER-STATION</br><a href='efc69c33-528f-4853-99aa-74d73e0daffa' target='blank'> Metadata Record </a>,-14.691188199764,145.459439966823
